"SNP_threshold","Cor_AFR","Cor_EUR","Cor_ASI","AFR_Lower","AFR_Upper","EUR_Lower","EUR_Upper","ASI_Lower","ASI_Upper","n"
2153,0.198140559610473,0.181233386782168,0.0861821657869284,0.0550576745576278,0.333249570682746,0.0375570194096756,0.317568577539697,-0.0592171208637631,0.228000651151989,184
2616,0.197913578391431,0.180976801938486,0.0864717955095227,0.054419233327182,0.333398788522207,0.0368885464984561,0.317693399677703,-0.0593290363724074,0.228660288323662,183
4475,0.1976457285529,0.180588866783456,0.0860692761597534,0.0537349902224645,0.333513215651117,0.0360810844648705,0.317699202238773,-0.0601391690634812,0.22866214446864,182
5280,0.197235910025944,0.18018741471867,0.085410740226155,0.0529000029016798,0.333499424395562,0.0352562552821549,0.317695579592727,-0.0612095521652993,0.228422844695401,181
7403,0.197253383767694,0.180391029356549,0.0843836542214141,0.0525048816861636,0.333883840038506,0.0350525598186341,0.318257258935824,-0.0626529399396182,0.227834978758464,180
8347,0.198966739639527,0.181723814179448,0.0861175174017056,0.0538664379407183,0.335838283607018,0.036011374965401,0.319870320679653,-0.0613294185844143,0.229886094890074,179
8378,0.198914260162457,0.18144882186954,0.0853756470910818,0.0533916584948647,0.336163730556492,0.0353063967461234,0.319993421594975,-0.0624938102701506,0.229577434123466,178
8733,0.198484234097962,0.180962739121175,0.0857783952845651,0.0525212690454802,0.336143713914562,0.0343798023739076,0.319923900326444,-0.0625131502725013,0.230364347744012,177
9515,0.202764484188396,0.185356145068636,0.0851716345335181,0.0565402251143747,0.340472772547485,0.0384914326356561,0.324382331347872,-0.0635490606965704,0.230191610355387,176
9779,0.202446259904534,0.18502438667759,0.0852009298622779,0.0557782393208514,0.340561799880266,0.0377164688235627,0.32446197320479,-0.063950463658243,0.230629139955664,175
11106,0.202009333599777,0.184577273903636,0.084785399445663,0.0548890742132901,0.340544811056599,0.0368184564516929,0.324438188527179,-0.0648018138567467,0.230645979091373,174
12431,0.203925702365557,0.186327307814679,0.0852757818956222,0.0564427687874049,0.342699068920127,0.0381887089819148,0.326452159506553,-0.0647482692170768,0.231530231920222,173
13280,0.203458782272943,0.185814128566057,0.0864875528899404,0.055514470680346,0.342661077222622,0.0372144271616401,0.32637398301298,-0.0639747962471382,0.233105236425086,172
13296,0.203021998139819,0.185294352493331,0.0574665458198476,0.0546135630795802,0.3426544051905,0.0362294030659128,0.32629332945428,-0.0934114488575728,0.205764405295469,171
13854,0.204068486765219,0.186331472830065,0.0574495796286666,0.0552512899436347,0.344016206886626,0.0368507191232491,0.327656422877787,-0.0938764200539827,0.206180988745032,170
15074,0.244972414392526,0.222922760363891,0.0568301179840267,0.0976225699397064,0.381812614651918,0.0744687868426202,0.361710358066683,-0.0949444465480543,0.206022662736086,169
15866,0.245868427874292,0.223991514456894,0.0560766495220091,0.0981110053456803,0.383019590693103,0.0751297118426363,0.36308737457745,-0.0961495028341438,0.205739596265107,168
16012,0.245550375406707,0.223625928425342,0.055838500936434,0.0973156989886184,0.383127098250371,0.0742851032113333,0.363156496994044,-0.0968463347128282,0.205955625779847,167
17197,0.24869027071331,0.226401316579153,0.0566473134333542,0.100163029707352,0.386375531391261,0.076725760652535,0.366097654399776,-0.096506910811957,0.207181133802651,166
18473,0.248387789416909,0.226034069767458,0.0561063425980661,0.0993754650936601,0.38650371828405,0.0758706272785082,0.36617215380876,-0.0975131335437276,0.207114511590578,165
18661,0.248693542509492,0.226371525553334,0.05590087017598,0.0992253563390186,0.387186865447297,0.0757494938640148,0.366893365515139,-0.0981901943071664,0.207374224745415,164
19235,0.248684553489465,0.226148596548612,0.0586794340834043,0.0987386336900032,0.387588351740689,0.0750366547285109,0.367107096898081,-0.095906153196683,0.210501156511047,163
19455,0.248953501015512,0.226395678751158,0.0597825521127777,0.0985407783964857,0.388245195673156,0.0748118425804044,0.367753171845774,-0.0952913187520237,0.212023533842168,162
19687,0.24860280529636,0.226024488063641,0.059061091406611,0.0976841641170519,0.388344789149382,0.0739344059172222,0.367839556754918,-0.0964952699700396,0.211801083727069,161
19785,0.251692445797963,0.228825529698779,0.0596509987957674,0.100456766622144,0.391559883354358,0.0763785499144762,0.370818625962728,-0.0963999643068438,0.212839831887781,160
21049,0.253761122012954,0.229614008377601,-0.0229358954272251,0.102148493398885,0.393852265361732,0.0767082587772536,0.371967551205018,-0.177947847117417,0.13318677828633,159
21259,0.253909954938719,0.229466727487707,-0.0242565620139173,0.10180578934118,0.394413517331292,0.0760512531784709,0.372269013540397,-0.179716215129313,0.132385152321771,158
22058,0.253677145445883,0.229214488688526,-0.0241371513824759,0.101054458960687,0.394634286130843,0.0752791536251021,0.37247923219673,-0.180094388315482,0.133003846868889,157
23102,0.253311320123476,0.228804388457757,-0.023795862520639,0.100157386352578,0.39473926568509,0.0743363630006165,0.372550283420286,-0.180262558530368,0.133845377206787,156
23886,0.226987769002306,0.200613508450291,-0.0246232566807483,0.0719128801500492,0.371347618924427,0.044368487182673,0.347278584251008,-0.181566684036524,0.133543368963268,155
23954,0.227443319043755,0.201050021360026,-0.0245610510330548,0.0718679271127599,0.372214468845193,0.0442979494630851,0.348140447072728,-0.182014665477906,0.134120620082068,154
24555,0.227086114480316,0.20062348208398,-0.0231549414135158,0.0709651145161708,0.372347231884991,0.0433245722305653,0.348216298393413,-0.181167427662396,0.136022960293217,153
26308,0.227034640567198,0.200538633890048,-0.0228838151025771,0.0703776745075174,0.372762197990075,0.042701206005432,0.348609661676535,-0.181423569317761,0.136815321397963,152
26651,0.227044648199709,0.200360947715905,-0.0241337432626714,0.0698492951585189,0.373237478650428,0.0419758429371383,0.348922724597139,-0.183156176709594,0.136119448532603,151
26764,0.230922782946839,0.204272230731978,-0.0247082738511754,0.073376787629954,0.377223989577969,0.045500245085768,0.352978313177268,-0.184240248190291,0.13609214812307,150
26984,0.230555296453417,0.203876847293738,-0.0248070772377288,0.0724409682848507,0.377365087163483,0.0445369674273141,0.353100954446783,-0.184869589249079,0.136537520290438,149
27053,0.23660769065981,0.210141847622149,-0.0259295180830625,0.078251099558104,0.383318282898085,0.0505105712438025,0.359303471965362,-0.186493153278848,0.135983218966543,148
28066,0.236452700243796,0.209872341178805,-0.0248789595811562,0.0775271604143856,0.38365946336578,0.0496665707726799,0.359549251508074,-0.186022995632646,0.137568417435397,147
28090,0.238691443288607,0.212325764804785,-0.0257923618171758,0.079318641967513,0.386166217760683,0.0516592082655492,0.362278449452888,-0.18745532239421,0.137231010962427,146
29099,0.24103157596926,0.214605320835911,-0.0258388747800377,0.0812132436105914,0.38876604442929,0.0534664893309005,0.364851094223233,-0.188056018409015,0.137750558038023,145
