"SNP_threshold","Cor_AFR","Cor_EUR","Cor_ASI","AFR_Lower","AFR_Upper","EUR_Lower","EUR_Upper","ASI_Lower","ASI_Upper","n"
952,0.822018019634832,0.764083408421238,0.227345057848401,0.768775096540344,0.863944028107098,0.696397336965922,0.818295680363662,0.0854958267761706,0.360161106320237,184
1158,0.830222997213513,0.764105114495349,0.232698386288091,0.778978198555226,0.870451700055419,0.696216024148232,0.818446372937898,0.0907033793623683,0.365420469414947,183
1692,0.840810239240777,0.767344132018519,0.238923957050997,0.792246893747831,0.878789392646988,0.700021057313434,0.821147719599415,0.0968336513160559,0.371469880704517,182
2231,0.840464208576181,0.767916624050653,0.233713135447018,0.791653897889024,0.878614209262243,0.700521946977051,0.821734676098648,0.090955966993687,0.367058286919943,181
3238,0.842919720476444,0.76908677859176,0.238904487943278,0.794624220556905,0.880613726093907,0.701764361498984,0.822794602700452,0.0959955395470982,0.372163315988262,180
3313,0.842029422492253,0.767885190509848,0.231134824290292,0.793336025732915,0.880017456589623,0.700058758048109,0.821979947571297,0.0874263918143113,0.365419009070276,179
3323,0.84047471214299,0.766431525637087,0.227341971640495,0.791198774718077,0.878907955852406,0.698036756865016,0.820968191193377,0.0830338051589597,0.362311503969338,178
3562,0.840693198545484,0.765151446581428,0.226652589943986,0.79131823458686,0.879173826882541,0.696227259190724,0.820095793718081,0.0818896694413335,0.36204938063391,177
3670,0.840724657077258,0.769308687736885,0.230594323334922,0.791198012805845,0.879295494387925,0.701180265573619,0.823515792738954,0.0855938217363741,0.366029303133699,176
4094,0.836851886616777,0.765307785590878,0.24682881571824,0.786095635927523,0.876397903276107,0.695977722662151,0.820500956320148,0.102228835746046,0.381213666256131,175
4840,0.836361799390256,0.764704362455131,0.246398957852773,0.785303696351281,0.876120041706895,0.695001311201144,0.820167849735781,0.101344065135824,0.381195414569814,174
4904,0.835112651381805,0.763500620380274,0.244924497883711,0.783540817167184,0.875256768435299,0.69327436215765,0.819363499811031,0.0993549578032879,0.380230075870873,173
4912,0.834664930464958,0.763107962734452,0.259753013455894,0.782797721500778,0.875014732586687,0.692554403766758,0.819200191735666,0.114571769603151,0.394070695545706,172
5303,0.834274968892168,0.763623038696548,0.265557591661038,0.782126036318914,0.874818635338467,0.692963368580787,0.81975279942468,0.120278639041964,0.399700771641941,171
6034,0.833792285635641,0.764223007635154,0.269362715147557,0.781333534293744,0.874552303135489,0.693476950361725,0.820372697080299,0.12387053726577,0.403517198677612,170
6208,0.834816749078145,0.764539647277464,0.267626417018115,0.782466211118212,0.875449202233495,0.693635510347893,0.820770507734392,0.121578258167137,0.402331879245377,169
6232,0.88486853061977,0.813224156861358,0.273904733756283,0.846928295172183,0.913843603116102,0.754746360923718,0.858879971101766,0.127794833113162,0.408378315991647,168
6249,0.88565221711627,0.812871222575427,0.274938406873776,0.847818839991363,0.914515063594938,0.754097620277429,0.858728596855855,0.128437479605716,0.409695912869953,167
6921,0.88445472692965,0.810747223961991,0.27123917366976,0.846124341514042,0.913683449676572,0.75119382811308,0.857208427741764,0.124042556915522,0.406755353217848,166
6975,0.883860345579746,0.810528199946644,0.268909559488143,0.845213898991624,0.91331100351893,0.750708964481157,0.857164474628798,0.121101426324179,0.405051609189197,165
7635,0.884130297380077,0.810595909046663,0.269382625022477,0.845430168339775,0.913594628160709,0.750586702413276,0.857343400191841,0.121133472352055,0.405876761147681,164
7906,0.882394949608669,0.80960693376982,0.280319669188675,0.843024087638895,0.912360824993618,0.749116351170749,0.856707461051435,0.13230010521505,0.416109631667906,163
7997,0.882417353437945,0.810684154826132,0.264899856212025,0.842912584097304,0.912459270505185,0.750276067801869,0.857667858483589,0.115418838346445,0.402648586040827,162
8269,0.88282561719747,0.811301837668889,0.263597831485349,0.843304815094839,0.912849965013266,0.750849593400233,0.858273652545395,0.113552747586927,0.401886965501794,161
8309,0.884034224007657,0.811175992055803,0.267151657789181,0.844745542510558,0.913844854129824,0.750472503356602,0.85830728233292,0.116835866099388,0.405501974840464,160
8339,0.882744531569547,0.808966947634033,0.265956601714438,0.842910456729185,0.912954750060026,0.747431403399407,0.85673917365568,0.115072880815362,0.404845085477587,159
8453,0.881059824656402,0.807455875500995,0.258545782039838,0.840553591843723,0.911769024546307,0.745277472095019,0.855711191481159,0.106713425936902,0.398595046442803,158
9075,0.88017874407476,0.807467159448302,0.214297472682752,0.839247255726441,0.911191334059672,0.745064950034084,0.855856443884405,0.0596620195445061,0.358888735663865,157
9502,0.879766233097308,0.806710320459272,0.213948175112173,0.838553028582806,0.910968242341937,0.743867464876243,0.855412889779541,0.0587837310572486,0.359018725536593,156
9678,0.879597699504864,0.805941090938986,0.209871661867004,0.838176971337997,0.910929983860459,0.742650450267245,0.854961970045998,0.0540104094545381,0.355749602383601,155
9774,0.880241424144774,0.805900753165621,0.211428571587716,0.83886753528269,0.911503030524429,0.742363012385494,0.855072357809238,0.0551107918512792,0.357630197994867,154
10199,0.880252917776125,0.806730634285753,0.213619005384252,0.838725331448863,0.911601401591757,0.743188434240865,0.855850860054862,0.0568685303592533,0.36009124203905,153
10222,0.873674402412119,0.795717315042688,0.219832543357134,0.829904810444297,0.906754942001929,0.728845905006974,0.847551276405404,0.062830760657283,0.366216582219225,152
10581,0.871961312153295,0.794012352538707,0.220797823349563,0.827482104949998,0.905565319687195,0.726412096926032,0.846395542130042,0.0633018620765125,0.367563187768072,151
10815,0.869540060224916,0.789576940824742,0.219149641464721,0.824123255460195,0.903847049913017,0.720484686253123,0.843147579403609,0.0610316224671886,0.366537896401217,150
10816,0.869540060224916,0.789576940824742,0.219149641464721,0.824123255460195,0.903847049913017,0.720484686253123,0.843147579403609,0.0610316224671886,0.366537896401217,150
11047,0.869452026351441,0.787868625599876,0.228622746092791,0.823650474478691,0.903984291675004,0.717765522613953,0.842159097146954,0.0698556609348475,0.376093668978365,148
11186,0.869164387605693,0.78769731748928,0.228744457670703,0.823089582721875,0.903872128572536,0.717272735130569,0.842191850889328,0.0694220195766779,0.376688157076897,147
11734,0.865698747121074,0.784801900597523,0.242353267279236,0.818333753646083,0.901384237796776,0.71329082068594,0.840140890353524,0.0831796570022219,0.389468324327077,146
11896,0.865355357216965,0.782655578539287,0.245120771029413,0.817690259419711,0.901235488825162,0.710261579564766,0.838667534950528,0.0855290187168798,0.392448939899859,145
