"SNP_threshold","Cor_AFR","Cor_EUR","Cor_ASI","AFR_Lower","AFR_Upper","EUR_Lower","EUR_Upper","ASI_Lower","ASI_Upper","n"
858,0.818382046465627,0.702589915772408,0.101880932997495,0.764192200509929,0.86109926146992,0.621050878968425,0.769083324126294,-0.0434200148155852,0.242961138335415,184
1108,0.82443695796394,0.70239043988035,0.10051357641285,0.771663607839724,0.865936238291601,0.620560464508588,0.76908752698699,-0.045202127405714,0.24204122543584,183
1699,0.828026685454312,0.701002317334483,0.103147407528332,0.776037987204496,0.86883840198313,0.618624629552004,0.768135207478261,-0.0429525732127589,0.244928208499498,182
2057,0.82845213751382,0.703371551031127,0.092842624448372,0.776413176261276,0.869270567378599,0.621249105722258,0.770211606382752,-0.0537429070317728,0.235511130751962,181
3072,0.830636162760854,0.703387125559203,0.107594122643478,0.779016849551521,0.871071597340654,0.621013513757182,0.770392651400837,-0.0392874640240979,0.249924361622023,180
3163,0.829475048555755,0.703220890721532,0.0946533045317297,0.777379537496105,0.870269476943581,0.6205544666517,0.770428822326129,-0.0527513238122504,0.238021134169603,179
3197,0.828624887908482,0.70215389491537,0.0910965672960797,0.776133866727843,0.869710921244198,0.61899676698346,0.769742584111039,-0.0567484951293771,0.235032087729741,178
3447,0.827708059841039,0.700669472057759,0.0921320926787137,0.774800914161279,0.869102202564774,0.616927847970689,0.768723174806739,-0.0561313123523702,0.236419861960826,177
3549,0.823503903857764,0.69841249382095,0.107571539032715,0.769293609186573,0.865941279783637,0.613915567322904,0.76708554864189,-0.0410009338088095,0.251489900871927,176
3838,0.823345181095014,0.699840240896621,0.108962111153167,0.768915554119373,0.865926165117559,0.61538413561305,0.768409762889603,-0.0400280183202735,0.253212367508586,175
4446,0.823670603807806,0.698946723990323,0.106104514363051,0.769150414534843,0.866287832310639,0.614024500544737,0.767871590303818,-0.0433496006152649,0.250913639633015,174
4629,0.822711523202137,0.699707797729369,0.10358922813624,0.767751867440623,0.865653833681991,0.614677808893928,0.76866232968878,-0.0463270290645672,0.248941944341871,173
4937,0.823300056288322,0.700519689787517,0.1049457661269,0.768317800261977,0.866221198604878,0.615391780190757,0.769494288406456,-0.0454016164699153,0.250644193735393,172
4992,0.823173176818524,0.699040603364031,0.125420924856981,0.76797272846735,0.86623476764812,0.613308359492652,0.768492944280601,-0.0251243726255718,0.270403727617766,171
5928,0.822640172845899,0.699425126887388,0.12635324683144,0.76710859368016,0.865935140817261,0.613495681675248,0.768985610835405,-0.0246294064527925,0.271700312063963,170
6038,0.824210439004802,0.699043574752654,0.122294748964042,0.7689218431895,0.867263133062997,0.612745087826828,0.768866895986165,-0.0292044411827977,0.268301497862734,169
6054,0.872900772947913,0.756598331760339,0.123174080357815,0.831369538958824,0.904735536817186,0.683486263944566,0.814681182717481,-0.028772306130073,0.269556701960372,168
6377,0.873657813392306,0.7556771107784,0.124505994949599,0.832209068180619,0.905396308573302,0.682090064445194,0.81411320257971,-0.027884844342887,0.271240984619966,167
6676,0.87218175504417,0.754086036533252,0.120766166853865,0.830146966159484,0.904357520605544,0.679855079354115,0.813021078388485,-0.0321466848796253,0.268154885845988,166
6843,0.87203113288758,0.753016902350502,0.121513657779572,0.829804035698203,0.904329103336528,0.678267003277909,0.812341693478251,-0.0318614402400814,0.269297649425493,165
7363,0.871988495418953,0.75311925773931,0.122065576826602,0.82959980378535,0.904383660291694,0.678136831569504,0.812584362645285,-0.0317787826342146,0.270259839909163,164
7379,0.872771078272269,0.753525705321076,0.097561847956071,0.830468575407102,0.905065454965145,0.678384023895588,0.813066768978146,-0.0570136925226318,0.247569476904926,163
7552,0.8707124828129,0.752921291631326,0.108951343921463,0.82763526089805,0.903591788282343,0.677366027382895,0.812757953676521,-0.0460171924388674,0.258799028062028,162
7998,0.87044797482517,0.755994171152808,0.10253928871077,0.827135706466699,0.903481340945716,0.680944384207364,0.815329826699691,-0.052975771694608,0.253198351212825,161
8014,0.8687196193205,0.755516481490916,0.107259295904719,0.824725115554222,0.902262854230323,0.680080121091328,0.815122500410107,-0.0487100934450926,0.258122313515478,160
8087,0.868114720155496,0.755710720874991,0.0738873737667186,0.82377579435308,0.901897825718078,0.680054411821583,0.815442147123413,-0.0827110424415997,0.226924864486992,159
8102,0.866183321896078,0.754456999594465,0.0623947896229222,0.821092610273058,0.900530381796236,0.678210685625571,0.814632648896677,-0.09466781179098,0.216426602818452,158
8732,0.866522169581111,0.754769528667338,0.0640480637669405,0.821368757473235,0.900883070662506,0.678327080473653,0.815048045940519,-0.0935283850581548,0.218494186882977,157
9038,0.866539745736379,0.75377174105587,0.0665715514159601,0.821224004954134,0.900993392194906,0.676796336401005,0.814443123549088,-0.0915266703127435,0.221396254003824,156
9529,0.866590178819862,0.752773645218502,0.0603271850245564,0.821120477303645,0.901129354565421,0.675260947248966,0.813840617463904,-0.0982555067059954,0.215921900610528,155
9596,0.867668617509936,0.752908905272763,0.060115058523769,0.822361477214343,0.902041222851078,0.675144878247944,0.814123301743332,-0.0989867587169871,0.216219941595586,154
9627,0.868625186042805,0.753586990801913,0.0643033058691488,0.823443816531294,0.902860420570311,0.675708591068726,0.814829608985736,-0.0953477056268418,0.220729217556264,153
9749,0.860808715075158,0.73899706211494,0.0721942459024936,0.813026226107433,0.897073281910821,0.657103876209284,0.803649342310942,-0.0880180808192283,0.22876565843416,152
10444,0.858771237551131,0.737658922435712,0.0725074113911365,0.810174590282476,0.895644023982096,0.655120057940072,0.802797654510788,-0.0882430475839674,0.229577037668223,151
10497,0.858516832112762,0.737486201170045,0.0723047577372175,0.809653242971244,0.895560658906274,0.654591249474639,0.802857469809118,-0.0889879313542886,0.229902252349356,150
10559,0.859379007143093,0.737354228606819,0.0810843238199659,0.810593422411992,0.896318417391433,0.654109802278061,0.80295106378883,-0.0807687199796482,0.238771093954505,149
10584,0.856669747760028,0.731620159488345,0.0790522801045715,0.806846997458274,0.894392148386029,0.646602877831688,0.798685269506408,-0.0833547178592273,0.237368581131069,148
10870,0.855515200410729,0.730778799437755,0.0882962241907837,0.80513483300245,0.893637725319221,0.645220359780034,0.798234423352291,-0.0746643580774239,0.246663563272138,147
11123,0.852459417638415,0.72567006162918,0.0949806047662392,0.8009234351484,0.891458100346754,0.638489304992637,0.794463917997653,-0.068525084097454,0.253517357226338,146
11227,0.851523907936037,0.723523710773174,0.0966296503187716,0.79948871307273,0.890874222291179,0.635461468678067,0.793005093356629,-0.0674418932442706,0.255612593070627,145
11439,0.850856060665106,0.721864429323225,0.0966314965242346,0.798401279939751,0.89049348770341,0.633037324297838,0.79192959217625,-0.0680195868693216,0.256158432015726,144
12677,0.850294503235129,0.720311432578915,0.0966967724586813,0.797449673020877,0.890194507603386,0.630740402927483,0.790940686206624,-0.068539705610446,0.256769731870175,143
13121,0.849956314478085,0.719328694794202,0.0968448881791376,0.796788132960723,0.89006474540069,0.629151504241577,0.790399158148999,-0.0689828698026359,0.257464827838343,142
13142,0.847956621734405,0.717843633563569,0.102376758952068,0.793936539644699,0.888693857577459,0.626927946220494,0.789470658767327,-0.0640188444782852,0.263233897321992,141
13146,0.847351935604709,0.71706125020015,0.100531640062952,0.792915499510653,0.888369583057463,0.625578554655737,0.789091934028089,-0.0664804365256154,0.262064077479337,140
