"SNP_threshold","Cor_AFR","Cor_EUR","Cor_ASI","AFR_Lower","AFR_Upper","EUR_Lower","EUR_Upper","ASI_Lower","ASI_Upper","n"
564,0.803998168590343,0.700875754397748,0.0695701558722004,0.746115784778388,0.849819109943049,0.618971930867327,0.767700116699437,-0.0758542631975902,0.212096611606316,184
735,0.814515695888982,0.704240931988883,0.0675760732579873,0.759153759899633,0.858177845306181,0.622807028675819,0.77057919479346,-0.0782475871140539,0.21056865322369,183
1009,0.820219893485026,0.702905472481902,0.0716192093309944,0.766173027889117,0.86274516831284,0.620935279449982,0.769668915401287,-0.0746136191377537,0.214836714616411,182
1336,0.820399270411412,0.703546031444437,0.0622869348944063,0.766229795527031,0.862990236526321,0.62146115667278,0.770352071258664,-0.0843370245944882,0.206270713641869,181
1961,0.823172379531477,0.705027161818601,0.0654282595547552,0.769564578274862,0.865258624966736,0.623008209180805,0.77171185256105,-0.0816161034674385,0.209684943143479,180
1976,0.822990419171351,0.703760918166585,0.0654553424100056,0.769163811114253,0.865221870253076,0.62121146301205,0.77086300869136,-0.082004218677294,0.210110461081128,179
2029,0.82196102034451,0.704017296037401,0.0556410390260947,0.767688206865976,0.864526311712368,0.621264662312265,0.771239962142896,-0.0921982003988284,0.201080104866094,178
2137,0.820362799294785,0.702657581403606,0.0511564750639307,0.765489491248638,0.8633897798134,0.61934766550696,0.770320325562656,-0.0970766338034956,0.197169318411054,177
2201,0.820220607877586,0.706183435651313,0.0519836899520154,0.765131747380548,0.863388288483472,0.623380931363454,0.773323168650578,-0.0966797890279137,0.198378339847107,176
2460,0.815760915406504,0.702921002691208,0.0635211527094082,0.759302957164459,0.860029678847621,0.619137511660189,0.770881606124899,-0.0856288469935555,0.209886532762186,175
2839,0.815634607810621,0.702024905534947,0.0610454874881159,0.75895813931801,0.86004501073931,0.6177756381053,0.770340299947516,-0.0885283376982763,0.207926986324377,174
2958,0.814676178265556,0.703585487722627,0.0579594900301859,0.757556884613466,0.859414669578345,0.619407636407288,0.771769167604715,-0.0920366513999449,0.205383668340429,173
