"SNP_threshold","Cor_AFR","Cor_EUR","Cor_ASI","AFR_Lower","AFR_Upper","EUR_Lower","EUR_Upper","ASI_Lower","ASI_Upper","n"
745,0.362018980435728,0.358525492945918,-0.0212238898150361,0.229370084372357,0.481465624694401,0.225563239046301,0.478375713388204,-0.165377152384105,0.123817277575309,184
978,0.361756543831665,0.358234078140589,-0.0208227253013445,0.228701024595346,0.481544075389968,0.224862222061258,0.478429504350879,-0.165379849090863,0.124610306434933,183
1460,0.361894946657217,0.358286001815454,-0.0215320944756582,0.228465751020141,0.481979284291351,0.224531861719316,0.478789580570353,-0.166466276033889,0.124312796260483,182
1804,0.361465255148801,0.357862541356139,-0.0227720530997249,0.227607541271355,0.481915229255062,0.223680229412978,0.47873191368996,-0.168071561559827,0.123495890979839,181
2735,0.36153016629661,0.358200903786612,-0.0250132570789437,0.227285382450113,0.482290629360662,0.223655255190156,0.479350268161297,-0.170652239084555,0.12169528475925,180
2827,0.36425513316402,0.360361698683949,-0.0229904866032602,0.229863573744867,0.48501494210173,0.225614276720247,0.481580032142718,-0.169092575957526,0.124100268698879,179
3000,0.36397449674747,0.360111203148926,-0.0224322210142749,0.22915778199134,0.485089867442328,0.224940919867207,0.481682684835416,-0.168959444480992,0.12506511778765,178
3040,0.364670802924237,0.360572267352351,-0.0238643385209185,0.229515651738905,0.486028350355336,0.225040348229748,0.482415770375115,-0.170763855341239,0.124073005346838,177
3138,0.347755157631352,0.342608879925327,-0.0249812102600106,0.210672054531516,0.471425131322325,0.205082114241767,0.466868637528762,-0.172264720253092,0.123394827481466,176
3457,0.34739575245002,0.342242946475142,-0.0249597257117629,0.209867912126474,0.471443610462527,0.204270509929649,0.46688272166502,-0.172663546409152,0.123841937292842,175
4000,0.346944914893339,0.341788084864272,-0.0256913113763959,0.208960566542059,0.471384279632781,0.203358577406104,0.466821113321723,-0.173796878672833,0.123550745943084,174
4272,0.349837035326408,0.344495088946337,-0.0250207449263877,0.211685896172972,0.47428177951037,0.205876643622928,0.469560512309052,-0.173573027242429,0.12464481481803,173
4306,0.349382517789924,0.34413069512642,-0.0204966449428245,0.210766920203072,0.474224638135843,0.205055355481519,0.469584428538924,-0.169610866187755,0.129535057911676,172
4477,0.348961273568764,0.343764343119835,-0.0188932307313685,0.209880183619824,0.474200074568248,0.204227969146491,0.469609790889396,-0.1684879091475,0.131552167064674,171
5019,0.350518227664574,0.345339319887133,-0.0189378806755931,0.211143480979762,0.47592370237166,0.205507011826621,0.471353337511067,-0.168970495743136,0.131952491578263,170
